#fragment# 	+QK 
#noise# 	+hGH 
$ 	SIL 
kilo+metro 	k i l o+ m e t rf o 
kilo+metros 	k i l o+ m e t rf o s 
kilogramos 	k i l o G rf a m o s 
kilos 	k i l o s 
kinder 	k i n d e rf 
kine+tico 	k i n e+ t i k o 
kiwis 	k i w i s 
kiwis(2) 	k i b i s 
km 	k i l o+ m e t rf o 
kms 	k i l o+ m e t rf o s 
kremlino+logo 	k rf e m l i n o+ l o G o 
kurda 	k u rf D a 
kurdas 	k u rf D a s 
kurdos 	k u rf D o s 
kurrajong 	k u r a x o ng g 
kurrajong(2) 	k u r a x o n g 
kuwaiti+ 	k u w aI t i+ 
kuwaiti+(2) 	k u b aI t i+ 
l 	e l e 
la 	l a 
la+grimas 	l a+ G rf i m a s 
la+mpara 	l a+ m p a rf a 
la+ser 	l a+ s e rf 
la+stima 	l a+ s t i m a 
laberinto 	l a b e rf i n t o 
labor 	l a b o rf 
laboraba 	l a b o rf a b a 
laboral 	l a b o rf a l 
laborales 	l a b o rf a l e s 
laboran 	l a b o rf a ng 
laboratorio 	l a b o rf a t o rf j o 
laboratorios 	l a b o rf a t o rf j o s 
labores 	l a b o rf e s 
laboriosas 	l a b o rf j o s a s 
laborista 	l a b o rf i s t a 
laboristas 	l a b o rf i s t a s 
laboro+ 	l a b o rf o+ 
labriegos 	l a b rf j e G o s 
lacerante 	l a s e rf a n t e 
lacerante(2) 	l a T e rf a n t e 
laco+nico 	l a k o+ n i k o 
lacrimo+geno 	l a k rf i m o+ x e n o 
lacrimo+genos 	l a k rf i m o+ x e n o s 
lacustre 	l a k u s t rf e 
ladera 	l a D e rf a 
lado 	l a D o 
lado(2) 	l a o 
lados 	l a D o s 
ladra 	l a D rf a 
ladrando 	l a D rf a n d o 
ladrillos 	l a D rf i L o s 
ladro+n 	l a D rf o+ ng 
ladrones 	l a D rf o n e s 
ladronzuelos 	l a D rf o n s w e l o s 
ladronzuelos(2) 	l a D rf o n T w e l o s 
lago 	l a G o 
lagos 	l a G o s 
lagunas 	l a G u n a s 
laicas 	l aI k a s 
laico 	l aI k o 
laicos 	l aI k o s 
lamenta 	l a m e n t a 
lamentaba 	l a m e n t a b a 
lamentable 	l a m e n t a b l e 
lamentablemente 	l a m e n t a b l e m e n t e 
lamentables 	l a m e n t a b l e s 
lamentar 	l a m e n t a rf 
lamentarnos 	l a m e n t a rf n o s 
lamentarse 	l a m e n t a rf s e 
lamento 	l a m e n t o 
lamento+ 	l a m e n t o+ 
lana 	l a n a 
lanar 	l a n a rf 
lancen 	l a ng s e ng 
lancen(2) 	l a n T e n 
lanceros 	l a ng s e rf o s 
lanceros(2) 	l a n T e rf o s 
lanchas 	l a ng tS a s 
lanchas(2) 	l a n tS a s 
lanza 	l a n s a 
lanza(2) 	l a n T a 
lanzaba 	l a n s a b a 
lanzaba(2) 	l a n T a b a 
lanzable 	l a n s a b l e 
lanzable(2) 	l a n T a b l e 
lanzada 	l a n s a D a 
lanzada(2) 	l a n T a D a 
lanzadas 	l a n s a D a s 
lanzadas(2) 	l a n T a D a s 
lanzado 	l a n s a D o 
lanzado(2) 	l a n T a o 
lanzador 	l a n s a D o rf 
lanzador(2) 	l a n T a D o rf 
lanzados 	l a n s a D o s 
lanzados(2) 	l a n T a D o s 
lanzagranadas 	l a n s a G rf a n a D a s 
lanzagranadas(2) 	l a n T a G rf a n a D a s 
lanzamiento 	l a n s a m j e n t o 
lanzamiento(2) 	l a n T a m j e n t o 
lanzamientos 	l a n s a m j e n t o s 
lanzamientos(2) 	l a n T a m j e n t o s 
lanzamos 	l a n s a m o s 
lanzamos(2) 	l a n T a m o s 
lanzan 	l a n s a ng 
lanzan(2) 	l a n T a n 
lanzar 	l a n s a rf 
lanzar(2) 	l a n T a rf 
lanzara 	l a n s a rf a 
lanzara(2) 	l a n T a rf a 
lanzara+ 	l a n s a rf a+ 
lanzara+(2) 	l a n T a rf a+ 
lanzari+a 	l a n s a rf i+ a 
lanzari+a(2) 	l a n T a rf i+ a 
lanzarla 	l a n s a rf l a 
lanzarla(2) 	l a n T a rf l a 
lanzarlo 	l a n s a rf l o 
lanzarlo(2) 	l a n T a rf l o 
lanzaron 	l a n s a rf o ng 
lanzaron(2) 	l a n T a rf o n 
lanzarse 	l a n s a rf s e 
lanzarse(2) 	l a n T a rf s e 
lanzo+ 	l a n s o+ 
lanzo+(2) 	l a n T o+ 
lapidaria 	l a p i D a rf j a 
lapidario 	l a p i D a rf j o 
lapso 	l a p s o 
lapsos 	l a p s o s 
larga 	l a rf G a 
largar 	l a rf G a rf 
largas 	l a rf G a s 
largo 	l a rf G o 
largos 	l a rf G o s 
las 	l a s 
lastime 	l a s t i m e 
lastimoso 	l a s t i m o s o 
lata 	l a t a 
late 	l a t e 
laten 	l a t e ng 
latente 	l a t e n t e 
lateral 	l a t e rf a l 
latina 	l a t i n a 
latinas 	l a t i n a s 
latinoamericana 	l a t i n o a m e rf i k a n a 
latinoamericanas 	l a t i n o a m e rf i k a n a s 
latinoamericano 	l a t i n o a m e rf i k a n o 
latinoamericanos 	l a t i n o a m e rf i k a n o s 
latitudes 	l a t i t u D e s 
laudatorias 	l aU D a t o rf j a s 
lavado 	l a b a D o 
lavado(2) 	l a b a o 
lavanderi+a 	l a b a n d e rf i+ a 
lavando 	l a b a n d o 
lavar 	l a b a rf 
laxitud 	l a k s i t u 
laxitud(2) 	l a s i t u 
lazos 	l a s o s 
lazos(2) 	l a T o s 
le 	l e 
le+anse 	l e+ a ng s e 
le+anse(2) 	l e+ a n s e 
lea 	l e a 
leal 	l e a l 
leales 	l e a l e s 
lealtad 	l e a l t a 
lealtades 	l e a l t a D e s 
leccio+n 	l e k s j o+ ng 
leccio+n(2) 	l e s j o+ n 
lecciones 	l e k s j o n e s 
lecciones(2) 	l e s j o n e s 
leche 	l e tS e 
lechera 	l e tS e rf a 
lecho 	l e tS o 
lechos 	l e tS o s 
lectivas 	l e k t i b a s 
lectivo 	l e k t i b o 
lector 	l e k t o rf 
lectora 	l e k t o rf a 
lectores 	l e k t o rf e s 
lectura 	l e k t u rf a 
lecturas 	l e k t u rf a s 
lee 	l e e 
leer 	l e e rf 
legacio+n 	l e G a s j o+ ng 
legacio+n(2) 	l e G a T j o+ n 
legaciones 	l e G a s j o n e s 
legaciones(2) 	l e G a T j o n e s 
legado 	l e G a D o 
legado(2) 	l e G a o 
legal 	l e G a l 
legales 	l e G a l e s 
legalidad 	l e G a l i D a 
legalista 	l e G a l i s t a 
legaliza 	l e G a l i s a 
legaliza(2) 	l e G a l i T a 
legalizacio+n 	l e G a l i s a s j o+ ng 
legalizacio+n(2) 	l e G a l i T a T j o+ n 
legalizada 	l e G a l i s a D a 
legalizada(2) 	l e G a l i T a D a 
legalizados 	l e G a l i s a D o s 
legalizados(2) 	l e G a l i T a D o s 
legalizar 	l e G a l i s a rf 
legalizar(2) 	l e G a l i T a rf 
legalizarles 	l e G a l i s a rf l e s 
legalizarles(2) 	l e G a l i T a rf l e s 
legalizo+ 	l e G a l i s o+ 
legalizo+(2) 	l e G a l i T o+ 
legalmente 	l e G a l m e n t e 
legendario 	l e x e n d a rf j o 
legi+tima 	l e x i+ t i m a 
legi+timas 	l e x i+ t i m a s 
legi+timo 	l e x i+ t i m o 
legi+timos 	l e x i+ t i m o s 
legio+n 	l e x j o+ ng 
legiones 	l e x j o n e s 
legisla 	l e x i z l a 
legislacio+n 	l e x i z l a s j o+ ng 
legislacio+n(2) 	l e x i z l a T j o+ n 
legislaciones 	l e x i z l a s j o n e s 
legislaciones(2) 	l e x i z l a T j o n e s 
legislador 	l e x i z l a D o rf 
legisladora 	l e x i z l a D o rf a 
legisladores 	l e x i z l a D o rf e s 
legislar 	l e x i z l a rf 
legislativa 	l e x i z l a t i b a 
legislativas 	l e x i z l a t i b a s 
legislativo 	l e x i z l a t i b o 
legislativos 	l e x i z l a t i b o s 
legislatura 	l e x i z l a t u rf a 
legisle 	l e x i z l e 
legislemos 	l e x i z l e m o s 
legitima 	l e x i t i m a 
legitimacio+n 	l e x i t i m a s j o+ ng 
legitimacio+n(2) 	l e x i t i m a T j o+ n 
legitimada 	l e x i t i m a D a 
legitimidad 	l e x i t i m i D a 
legitimo+ 	l e x i t i m o+ 
leguleyadas 	l e G u l e L a D a s 
leguleyadas(2) 	l e G u l eI a D a s 
lei+ 	l e i+ 
lei+a 	l e i+ a 
lei+da 	l e i+ D a 
lei+do 	l e i+ D o 
leidos 	l eI D o s 
lejana 	l e x a n a 
lejani+a 	l e x a n i+ a 
lejano 	l e x a n o 
lejos 	l e x o s 
lema 	l e m a 
lemas 	l e m a s 
lempira 	l e m p i rf a 
lempiras 	l e m p i rf a s 
len5a 	l e n~ a 
lenca 	l e ng k a 
lenca(2) 	l e n k a 
lencas 	l e ng k a s 
lencas(2) 	l e n k a s 
lengua 	l e ng g w a 
lengua(2) 	l e n g w a 
lenguaje 	l e ng g w a x e 
lenguaje(2) 	l e n g w a x e 
lenguajes 	l e ng g w a x e s 
lenguajes(2) 	l e n g w a x e s 
lenta 	l e n t a 
lentamente 	l e n t a m e n t e 
lente 	l e n t e 
lentes 	l e n t e s 
lentitud 	l e n t i t u 
lento 	l e n t o 
leo 	l e o 
leone+s 	l e o n e+ s 
leones 	l e o n e s 
leopardos 	l e o p a rf D o s 
leptospirosis 	l e p t o s p i rf o s i s 
leptospirosis(2) 	l e t o s p i rf o s i s 
les 	l e s 
lesa 	l e s a 
lesio+n 	l e s j o+ ng 
lesionadas 	l e s j o n a D a s 
lesionado 	l e s j o n a D o 
lesionado(2) 	l e s j o n a o 
lesionados 	l e s j o n a D o s 
lesionan 	l e s j o n a ng 
lesionar 	l e s j o n a rf 
lesiones 	l e s j o n e s 
lesiono+ 	l e s j o n o+ 
letal 	l e t a l 
letargada 	l e t a rf G a D a 
letra 	l e t rf a 
letrada 	l e t rf a D a 
letrado 	l e t rf a D o 
letrado(2) 	l e t rf a o 
letras 	l e t rf a s 
letrero 	l e t rf e rf o 
letreros 	l e t rf e rf o s 
letrinas 	l e t rf i n a s 
levanta 	l e b a n t a 
levantada 	l e b a n t a D a 
levantado 	l e b a n t a D o 
levantado(2) 	l e b a n t a o 
levantados 	l e b a n t a D o s 
levantamiento 	l e b a n t a m j e n t o 
levantan 	l e b a n t a ng 
levantando 	l e b a n t a n d o 
levantar 	l e b a n t a rf 
levantara+ 	l e b a n t a rf a+ 
levantara+n 	l e b a n t a rf a+ ng 
levantarle 	l e b a n t a rf l e 
levantaron 	l e b a n t a rf o ng 
levantarse 	l e b a n t a rf s e 
levanto+ 	l e b a n t o+ 
leve 	l e b e 
levemente 	l e b e m e n t e 
leves 	l e b e s 
ley 	l eI 
leyenda 	l e L e n d a 
leyenda(2) 	l eI e n d a 
leyendas 	l e L e n d a s 
leyendas(2) 	l eI e n d a s 
leyeran 	l e L e rf a ng 
leyeran(2) 	l eI e rf a n 
leyeron 	l e L e rf o ng 
leyeron(2) 	l eI e rf o n 
leyes 	l e L e s 
leyes(2) 	l eI e s 
leyo+ 	l e L o+ 
leyo+(2) 	l eI o+ 
li+cita 	l i+ s i t a 
li+cita(2) 	l i+ T i t a 
li+cito 	l i+ s i t o 
li+cito(2) 	l i+ T i t o 
li+citos 	l i+ s i t o s 
li+citos(2) 	l i+ T i t o s 
li+der 	l i+ D e rf 
li+deres 	l i+ D e rf e s 
li+mite 	l i+ m i t e 
li+mites 	l i+ m i t e s 
li+mitrofe 	l i+ m i t rf o f e 
li+nea 	l i+ n e a 
li+neas 	l i+ n e a s 
li+o 	l i+ o 
li+os 	l i+ o s 
li+quido 	l i+ k i D o 
li+quidos 	l i+ k i D o s 
li+rica 	l i+ rf i k a 
libane+s 	l i b a n e+ s 
libanesa 	l i b a n e s a 
libaneses 	l i b a n e s e s 
libe+rrimo 	l i b e+ r i m o 
libelo 	l i b e l o 
libera 	l i b e rf a 
liberacio+n 	l i b e rf a s j o+ ng 
liberacio+n(2) 	l i b e rf a T j o+ n 
liberacionista 	l i b e rf a s j o n i s t a 
liberacionista(2) 	l i b e rf a T j o n i s t a 
liberacionistas 	l i b e rf a s j o n i s t a s 
liberacionistas(2) 	l i b e rf a T j o n i s t a s 
liberada 	l i b e rf a D a 
liberadas 	l i b e rf a D a s 
liberado 	l i b e rf a D o 
liberado(2) 	l i b e rf a o 
liberados 	l i b e rf a D o s 
liberal 	l i b e rf a l 
liberales 	l i b e rf a l e s 
liberalismo 	l i b e rf a l i z m o 
liberalizacio+n 	l i b e rf a l i s a s j o+ ng 
liberalizacio+n(2) 	l i b e rf a l i T a T j o+ n 
liberalizarla 	l i b e rf a l i s a rf l a 
liberalizarla(2) 	l i b e rf a l i T a rf l a 
liberan 	l i b e rf a ng 
liberar 	l i b e rf a rf 
liberarlo 	l i b e rf a rf l o 
liberaron 	l i b e rf a rf o ng 
liberarse 	l i b e rf a rf s e 
liberen 	l i b e rf e ng 
liberlaes 	l i b e rf l a e s 
libero+ 	l i b e rf o+ 
libertad 	l i b e rf t a 
libertades 	l i b e rf t a D e s 
libertarios 	l i b e rf t a rf j o s 
libia 	l i b j a 
libio 	l i b j o 
libios 	l i b j o s 
libra 	l i b rf a 
libraban 	l i b rf a b a ng 
librado 	l i b rf a D o 
librado(2) 	l i b rf a o 
libran 	l i b rf a ng 
libraron 	l i b rf a rf o ng 
librar 	l i b rf a rf 
libras 	l i b rf a s 
libre 	l i b rf e 
libremente 	l i b rf e m e n t e 
libreri+a 	l i b rf e rf i+ a 
libres 	l i b rf e s 
libreto 	l i b rf e t o 
libro 	l i b rf o 
libro+ 	l i b rf o+ 
libros 	l i b rf o s 
licei+sta 	l i s e i+ s t a 
licei+sta(2) 	l i T e i+ s t a 
licencias 	l i s e ng s j a s 
licenciosa 	l i s e ng s j o s a 
licenciosa(2) 	l i T e n T j o s a 
liceos 	l i s e o s 
liceos(2) 	l i T e o s 
licitacio+n 	l i s i t a s j o+ ng 
licitacio+n(2) 	l i T i t a T j o+ n 
licitaciones 	l i s i t a s j o n e s 
licitaciones(2) 	l i T i t a T j o n e s 
licitadas 	l i s i t a D a s 
licitadas(2) 	l i T i t a D a s 
licitan 	l i s i t a ng 
licitan(2) 	l i T i t a n 
licor 	l i k o rf 
licores 	l i k o rf e s 
licuado 	l i k w a D o 
licuado(2) 	l i k w a o 
licuadora 	l i k w a D o rf a 
lid 	l i 
lidera 	l i D e rf a 
liderada 	l i D e rf a D a 
lideradas 	l i D e rf a D a s 
liderado 	l i D e rf a D o 
liderado(2) 	l i D e rf a o 
liderados 	l i D e rf a D o s 
liderar 	l i D e rf a rf 
liderato 	l i D e rf a t o 
liderazgo 	l i D e rf a s G o 
liderazgo(2) 	l i D e rf a T G o 
lideres 	l i D e rf e s 
lidero+ 	l i D e rf o+ 
lidiar 	l i D j a rf 
liebre 	l j e b rf e 
lienzo 	l j e n s o 
lienzo(2) 	l j e n T o 
liga 	l i G a 
ligada 	l i G a D a 
ligadas 	l i G a D a s 
ligado 	l i G a D o 
ligado(2) 	l i G a o 
ligados 	l i G a D o s 
ligas 	l i G a s 
ligera 	l i x e rf a 
ligeramente 	l i x e rf a m e n t e 
ligero 	l i x e rf o 
ligeros 	l i x e rf o s 
light 	l i G t 
ligth 	l i G t 
liguistas 	l i g i s t a s 
limbo 	l i m b o 
limen5o 	l i m e n~ o 
limi+trofe 	l i m i+ t rf o f e 
limi+trofes 	l i m i+ t rf o f e s 
limita 	l i m i t a 
limitacio+n 	l i m i t a s j o+ ng 
limitacio+n(2) 	l i m i t a T j o+ n 
limitaciones 	l i m i t a s j o n e s 
limitaciones(2) 	l i m i t a T j o n e s 
limitada 	l i m i t a D a 
limitado 	l i m i t a D o 
limitado(2) 	l i m i t a o 
limitados 	l i m i t a D o s 
limitan 	l i m i t a ng 
limitar 	l i m i t a rf 
limitara+ 	l i m i t a rf a+ 
limitarse 	l i m i t a rf s e 
limite 	l i m i t e 
limito+ 	l i m i t o+ 
limosna 	l i m o z n a 
limpia 	l i m p j a 
limpiar 	l i m p j a rf 
limpiaron 	l i m p j a rf o ng 
limpias 	l i m p j a s 
limpieza 	l i m p j e s a 
limpieza(2) 	l i m p j e T a 
limpio 	l i m p j o 
limpios 	l i m p j o s 
limusina 	l i m u s i n a 
linaje 	l i n a x e 
linchando 	l i ng tS a n d o 
linchando(2) 	l i n tS a n d o 
linda 	l i n d a 
lindas 	l i n d a s 
linderos 	l i n d e rf o s 
lindos 	l i n d o s 
lineal 	l i n e a l 
lineamientos 	l i n e a m j e n t o s 
lingui+stica 	l i ng g w i+ s t i k a 
lionesa 	l j o n e s a 
liquida+bamos 	l i k i D a+ b a m o s 
liquidacio+n 	l i k i D a s j o+ ng 
liquidacio+n(2) 	l i k i D a T j o+ n 
liquidaciones 	l i k i D a s j o n e s 
liquidaciones(2) 	l i k i D a T j o n e s 
liquidado 	l i k i D a D o 
liquidado(2) 	l i k i D a o 
liquidando 	l i k i D a n d o 
liquidar 	l i k i D a rf 
liquiden 	l i k i D e ng 
liquidez 	l i k i D e s 
liquidez(2) 	l i k i D e T 
lira 	l i rf a 
liras 	l i rf a s 
lironda 	l i rf o n d a 
lirondo 	l i rf o n d o 
lisa 	l i s a 
lisiados 	l i s j a D o s 
lisis 	l i s i s 
liso 	l i s o 
lista 	l i s t a 
listado 	l i s t a D o 
listado(2) 	l i s t a o 
listados 	l i s t a D o s 
listas 	l i s t a s 
listo 	l i s t o 
listos 	l i s t o s 
literal 	l i t e rf a l 
literalmente 	l i t e rf a l m e n t e 
literaria 	l i t e rf a rf j a 
literarias 	l i t e rf a rf j a s 
literario 	l i t e rf a rf j o 
literarios 	l i t e rf a rf j o s 
literatos 	l i t e rf a t o s 
literatura 	l i t e rf a t u rf a 
litigio 	l i t i x j o 
litigios 	l i t i x j o s 
litoral 	l i t o rf a l 
litote 	l i t o t e 
litros 	l i t rf o s 
litu+rgicas 	l i t u+ rf x i k a s 
litu+rgico 	l i t u+ rf x i k o 
lituana 	l i t w a n a 
liturgia 	l i t u rf x j a 
liviano 	l i b j a n o 
llama 	L a m a 
llama+dolo 	L a m a+ D o l o 
llamaba 	L a m a b a 
llamaban 	L a m a b a ng 
llamada 	L a m a D a 
llamadas 	L a m a D a s 
llamado 	L a m a D o 
llamado(2) 	L a m a o 
llamados 	L a m a D o s 
llamamiento 	L a m a m j e n t o 
llamamientos 	L a m a m j e n t o s 
llamamos 	L a m a m o s 
llaman 	L a m a ng 
llamando 	L a m a n d o 
llamar 	L a m a rf 
llamari+a 	L a m a rf i+ a 
llamarlas 	L a m a rf l a s 
llamarle 	L a m a rf l e 
llamaron 	L a m a rf o ng 
llamarse 	L a m a rf s e 
llamas 	L a m a s 
llamativa 	L a m a t i b a 
llamativo 	L a m a t i b o 
llame 	L a m e 
llamen 	L a m e ng 
llamo+ 	L a m o+ 
llanamente 	L a n a m e n t e 
llano 	L a n o 
llanto 	L a n t o 
llaves 	L a b e s 
llavines 	L a b i n e s 
llega 	L e G a 
llegaba 	L e G a b a 
llegaban 	L e G a b a ng 
llegada 	L e G a D a 
llegado 	L e G a D o 
llegado(2) 	L e G a o 
llegados 	L e G a D o s 
llegamos 	L e G a m o s 
llegan 	L e G a ng 
llegando 	L e G a n d o 
llegar 	L e G a rf 
llegara 	L e G a rf a 
llegara+ 	L e G a rf a+ 
llegara+n 	L e G a rf a+ ng 
llegaran 	L e G a rf a ng 
llegaremos 	L e G a rf e m o s 
llegari+a 	L e G a rf i+ a 
llegaron 	L e G a rf o ng 
llegarse 	L e G a rf s e 
llego+ 	L e G o+ 
llegue 	L e g e 
llegue+ 	L e g e+ 
lleguemos 	L e g e m o s 
lleguen 	L e g e ng 
llena 	L e n a 
llena+ndonos 	L e n a+ n d o n o s 
llenaba 	L e n a b a 
llenaban 	L e n a b a ng 
llenado 	L e n a D o 
llenado(2) 	L e n a o 
llenando 	L e n a n d o 
llenar 	L e n a rf 
llene 	L e n e 
llenen 	L e n e ng 
lleno 	L e n o 
lleno+ 	L e n o+ 
llenos 	L e n o s 
lleva 	L e b a 
lleva+ndola 	L e b a+ n d o l a 
llevaba 	L e b a b a 
llevaban 	L e b a b a ng 
llevada 	L e b a D a 
llevado 	L e b a D o 
llevado(2) 	L e b a o 
llevados 	L e b a D o s 
llevamos 	L e b a m o s 
llevan 	L e b a ng 
llevando 	L e b a n d o 
llevar 	L e b a rf 
llevara 	L e b a rf a 
llevara+ 	L e b a rf a+ 
llevara+n 	L e b a rf a+ ng 
llevari+a 	L e b a rf i+ a 
llevari+an 	L e b a rf i+ a ng 
llevarla 	L e b a rf l a 
llevarlo 	L e b a rf l o 
llevarlos 	L e b a rf l o s 
llevarnos 	L e b a rf n o s 
llevaron 	L e b a rf o ng 
llevarse 	L e b a rf s e 
llevasen 	L e b a s e ng 
lleve 	L e b e 
lleven 	L e b e ng 
llevo 	L e b o 
llevo+ 	L e b o+ 
lloran 	L o rf a ng 
llorar 	L o rf a rf 
llover 	L o b e rf 
llovi+a 	L o b i+ a 
llovizna 	L o b i s n a 
llovizna(2) 	L o b i T n a 
llueve 	L w e b e 
lluvi+as 	L u b i+ a s 
lluvia 	L u b j a 
lluvias 	L u b j a s 
lluviosa 	L u b j o s a 
lluvioso 	L u b j o s o 
lo 	l o 
lo+gica 	l o+ x i k a 
lo+gicamente 	l o+ x i k a m e n t e 
lo+gicas 	l o+ x i k a s 
lo+gico 	l o+ x i k o 
lobbies 	l o b e s 
lobby 	l o b j 
local 	l o k a l 
locales 	l o k a l e s 
localidad 	l o k a l i D a 
localidades 	l o k a l i D a D e s 
localizacio+n 	l o k a l i s a s j o+ ng 
localizacio+n(2) 	l o k a l i T a T j o+ n 
localizada 	l o k a l i s a D a 
localizada(2) 	l o k a l i T a D a 
localizadas 	l o k a l i s a D a s 
localizadas(2) 	l o k a l i T a D a s 
localizado 	l o k a l i s a D o 
localizado(2) 	l o k a l i T a o 
localizados 	l o k a l i s a D o s 
localizados(2) 	l o k a l i T a D o s 
localizar 	l o k a l i s a rf 
localizar(2) 	l o k a l i T a rf 
localizo+ 	l o k a l i s o+ 
localizo+(2) 	l o k a l i T o+ 
localmente 	l o k a l m e n t e 
locomocio+n 	l o k o m o s j o+ ng 
locomocio+n(2) 	l o k o m o T j o+ n 
locura 	l o k u rf a 
locutor 	l o k u t o rf 
locutores 	l o k u t o rf e s 
lodo 	l o D o 
logi+stica 	l o x i+ s t i k a 
logi+sticas 	l o x i+ s t i k a s 
logi+stico 	l o x i+ s t i k o 
logi+sticos 	l o x i+ s t i k o s 
logotipo 	l o G o t i p o 
logra 	l o G rf a 
lograba 	l o G rf a b a 
lograban 	l o G rf a b a ng 
lograda 	l o G rf a D a 
logrado 	l o G rf a D o 
logrado(2) 	l o G rf a o 
logrados 	l o G rf a D o s 
logran 	l o G rf a ng 
lograr 	l o G rf a rf 
lograra+ 	l o G rf a rf a+ 
lograra+n 	l o G rf a rf a+ ng 
lograri+amos 	l o G rf a rf i+ a m o s 
lograrla 	l o G rf a rf l a 
lograrlo 	l o G rf a rf l o 
lograron 	l o G rf a rf o ng 
lograrse 	l o G rf a rf s e 
lograun 	l o G rf aU ng 
logre 	l o G rf e 
logre+ 	l o G rf e+ 
logremos 	l o G rf e m o s 
logren 	l o G rf e ng 
logro 	l o G rf o 
logro+ 	l o G rf o+ 
logros 	l o G rf o s 
lombardo 	l o m b a rf D o 
longevidad 	l o n x e b i D a 
longitud 	l o n x i t u 
longitudinales 	l o n x i t u D i n a l e s 
los 	l o s 
lote 	l o t e 
loteri+a 	l o t e rf i+ a 
loteri+as 	l o t e rf i+ a s 
lottizzazione 	l o t i s a s j o n e 
lottizzazione(2) 	l o t t i T T a T j o n e 
low 	l o w 
low(2) 	l o b 
lu+cida 	l u+ s i D a 
lu+cida(2) 	l u+ T i D a 
lu+cidamente 	l u+ s i D a m e n t e 
lubricantes 	l u b rf i k a n t e s 
luce 	l u s e 
luce(2) 	l u T e 
luces 	l u s e s 
luces(2) 	l u T e s 
lucha 	l u tS a 
luchamos 	l u tS a m o s 
luchan 	l u tS a ng 
luchando 	l u tS a n d o 
luchar 	l u tS a rf 
lucharon 	l u tS a rf o ng 
luchas 	l u tS a s 
lucho+ 	l u tS o+ 
luci+an 	l u s i+ a ng 
luci+an(2) 	l u T i+ a n 
luciendo 	l u s j e n d o 
luciendo(2) 	l u T j e n d o 
lucio+ 	l u s j o+ 
lucio+(2) 	l u T j o+ 
lucir 	l u s i rf 
lucir(2) 	l u T i rf 
lucrado 	l u k rf a D o 
lucrado(2) 	l u k rf a o 
lucrar 	l u k rf a rf 
lucren 	l u k rf e ng 
lucro 	l u k rf o 
ludibrio 	l u D i b rf j o 
luego 	l w e G o 
lugar 	l u G a rf 
lugares 	l u G a rf e s 
lugartenientes 	l u G a rf t e n j e n t e s 
lujo 	l u x o 
lujosa 	l u x o s a 
lujoso 	l u x o s o 
lujosos 	l u x o s o s 
lujurias 	l u x u rf j a s 
lumbar 	l u m b a rf 
lumbre 	l u m b rf e 
luminosa 	l u m i n o s a 
luminosidad 	l u m i n o s i D a 
luna 	l u n a 
lunar 	l u n a rf 
lunas 	l u n a s 
lunes 	l u n e s 
lustre 	l u s t rf e 
luterana 	l u t e rf a n a 
luterano 	l u t e rf a n o 
luteranos 	l u t e rf a n o s 
luxacio+n 	l u k s a s j o+ ng 
luxacio+n(2) 	l u s a T j o+ n 
luz 	l u s 
luz(2) 	l u T 
m 	e m e 
ma+gica 	m a+ x i k a 
ma+gicas 	m a+ x i k a s 
ma+gico 	m a+ x i k o 
ma+gicos 	m a+ x i k o s 
ma+quina 	m a+ k i n a 
ma+quinas 	m a+ k i n a s 
ma+rgenes 	m a+ rf x e n e s 
ma+rmol 	m a+ rf m o l 
ma+rtires 	m a+ rf t i rf e s 
ma+s 	m a+ s 
ma+xima 	m a+ k s i m a 
ma+xima(2) 	m a+ s i m a 
ma+ximas 	m a+ k s i m a s 
ma+ximas(2) 	m a+ s i m a s 
ma+xime 	m a+ k s i m e 
ma+xime(2) 	m a+ s i m e 
ma+ximo 	m a+ k s i m o 
ma+ximo(2) 	m a+ s i m o 
ma+ximos 	m a+ k s i m o s 
ma+ximos(2) 	m a+ s i m o s 
macacos 	m a k a k o s 
maceta 	m a s e t a 
maceta(2) 	m a T e t a 
machista 	m a tS i s t a 
macho 	m a tS o 
machos 	m a tS o s 
macro 	m a k rf o 
macroecono+mica 	m a k rf o e k o n o+ m i k a 
macroecono+micas 	m a k rf o e k o n o+ m i k a s 
macroecono+mico 	m a k rf o e k o n o+ m i k o 
macroecono+micos 	m a k rf o e k o n o+ m i k o s 
madera 	m a D e rf a 
maderas 	m a D e rf a s 
maderera 	m a D e rf e rf a 
madre 	m a D rf e 
madres 	m a D rf e s 
madrugada 	m a D rf u G a D a 
madura 	m a D u rf a 
maduracio+n 	m a D u rf a s j o+ ng 
maduracio+n(2) 	m a D u rf a T j o+ n 
madurara+ 	m a D u rf a rf a+ 
madurez 	m a D u rf e s 
madurez(2) 	m a D u rf e T 
maduro 	m a D u rf o 
maduros 	m a D u rf o s 
maestra 	m a e s t rf a 
maestri+a 	m a e s t rf i+ a 
maestro 	m a e s t rf o 
maestros 	m a e s t rf o s 
maffia 	m a f f j a 
mafia 	m a f j a 
mafias 	m a f j a s 
mafiosa 	m a f j o s a 
mafiosas 	m a f j o s a s 
mafiosos 	m a f j o s o s 
magiara 	m a x j a rf a 
magisterial 	m a x i s t e rf j a l 
magisteriales 	m a x i s t e rf j a l e s 
magisterio 	m a x i s t e rf j o 
magisterios 	m a x i s t e rf j o s 
magistrada 	m a x i s t rf a D a 
magistrado 	m a x i s t rf a D o 
magistrado(2) 	m a x i s t rf a o 
magistrados 	m a x i s t rf a D o s 
